name,price,url,price_discounted,price_original,article_id,pct_discount
Scented Candle in Holder,$7.99 $17.99,http://www.hm.com/us/product/73325?article=73325-C,7.99,17.99,73325-C,44.41
Slub-weave Cushion Cover,$3.99 $9.99,http://www.hm.com/us/product/74264?article=74264-A,3.99,9.99,74264-A,39.94
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-A,6.99,17.99,72455-A,38.85
Texture-patterned Plate,$4.99 $12.99,http://www.hm.com/us/product/70799?article=70799-B,4.99,12.99,70799-B,38.41
Cotton Canvas Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/68473?article=68473-D,2.99,5.99,68473-D,49.92
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-C,4.99,9.99,72111-C,49.95
Textured-weave Cushion Cover,$6.99 $12.99,http://www.hm.com/us/product/58926?article=58926-B,6.99,12.99,58926-B,53.81
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/58211?article=58211-A,2.99,5.99,58211-A,49.92
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/75469?article=75469-A,34.99,79.99,75469-A,43.74
Faux Fur Seat Cushion,$7.99 $17.99,http://www.hm.com/us/product/76982?article=76982-A,7.99,17.99,76982-A,44.41
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/74825?article=74825-A,34.99,79.99,74825-A,43.74
Patterned Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/74263?article=74263-A,2.99,5.99,74263-A,49.92
Sequined Table Runner,$14.99 $24.99,http://www.hm.com/us/product/78047?article=78047-A,14.99,24.99,78047-A,59.98
Jacquard-weave Cushion Cover,$5.99 $12.99,http://www.hm.com/us/product/60637?article=60637-G,5.99,12.99,60637-G,46.11
Cushion Cover with Tassels,$12.99 $17.99,http://www.hm.com/us/product/78381?article=78381-A,12.99,17.99,78381-A,72.21
